Country,Year,Manufacturer,EV_Sales_(USD),Charging_Stations,EV_Market_Share(%),Total_Vehicles_Sold,EV_Type,GDP_per_Capita,Govt_Incentives
USA,2022,Chevrolet,"$2,933 ",1194.0,9.82,32626.0,BEV,72932.0,yes
USA,2018,BMW,"$27,980 ",484.0,18.74,47411.0,BEV,3747.0,No
India,2016,Ford,$689 ,2744.0,18.93,69124.0,HEV,57886.0,YES
Japan,2017,BMW,"$4,390 ",656.0,5.95,85428.0,BEV,11627.0,no
Germany,2023,Renault,"$9,292 ",2373.0,17.34,53293.0,BEV,77552.0,YES
India,2023,Ford,"$27,031 ",1595.0,20.21,47488.0,BEV,67557.0,Yes
China,2020,BMW,"$12,153 ",2623.0,16.85,53910.0,BEV,10692.0,Yes
Germany,2017,Renault,"$46,258 ",171.0,12.46,79864.0,HEV,12534.0,No
norway,2022,Chevrolet,"$29,627 ",3808.0,16.1,120416.0,PHEV,56591.0,No
China,2015,Kia,"$9,071 ",502.0,5.09,61285.0,HEV,62228.0,no
China,2022,Chevrolet,"$49,716 ",2578.0,23.4,118279.0,BEV,3695.0,No
France,2021,Tesla,"$48,690 ",401.0,22.14,62356.0,BEV,39660.0,no
Canada,2022,Volkswagen,"$4,061 ",2288.0,19.88,57312.0,BEV,23662.0,Yes
Canada,2017,Tesla,"$8,892 ",4885.0,10.6,99027.0,HEV,36222.0,Yes
Netherlands,2024,Tesla,"$12,337 ",814.0,22.16,76672.0,HEV,11965.0,yes
china,2018,Hyundai,"$14,273 ",2700.0,23.06,114079.0,PHEV,7910.0,YES
India,2016,Volkswagen,"$45,953 ",880.0,2.17,47159.0,PHEV,24419.0,yes
India,2017,Renault,"$15,320 ",1688.0,22.91,50147.0,HEV,56820.0,No
Netherlands,2023,Volkswagen,"$16,698 ",1732.0,21.15,39997.0,PHEV,44585.0,yes
China,2020,Chevrolet,"$44,189 ",1607.0,19.37,47882.0,PHEV,70163.0,No
India,2018,Nissan,"$10,730 ",3312.0,27.3,41810.0,BEV,67842.0,yes
France,2020,Kia,"$33,062 ",4789.0,8.08,107592.0,BEV,62087.0,yes
Norway,2021,BMW,"$30,803 ",1505.0,21.39,86187.0,HEV,52005.0,YES
USA,2019,BMW,"$47,076 ",4669.0,8.16,113394.0,BEV,24664.0,No
USA,2015,Nissan,"$29,173 ",4747.0,12.92,31027.0,PHEV,39623.0,no
USA,2016,Kia,"$7,892 ",3484.0,20.74,95984.0,BEV,51859.0,Yes
Canada,2023,Ford,"$39,059 ",1743.0,8.02,110526.0,PHEV,53662.0,YES
Japan,2022,BMW,"$33,470 ",3265.0,7.89,59812.0,BEV,38157.0,no
India,2020,Hyundai,"$2,827 ",2941.0,29.52,92872.0,HEV,35698.0,no
Norway,2019,Kia,"$44,857 ",2521.0,2.18,95668.0,PHEV,3811.0,yes
Norway,2021,Volkswagen,"$47,511 ",1379.0,15.85,59922.0,PHEV,3911.0,Yes
Japan,2017,Tesla,"$2,234 ",1853.0,28.28,87113.0,PHEV,72295.0,no
Netherlands,2017,Nissan,"$2,302 ",4071.0,21.18,19948.0,BEV,47843.0,yes
China,2017,BMW,"$31,565 ",633.0,17.1,109936.0,BEV,3049.0,No
France,2016,BMW,"$32,116 ",3733.0,17.19,62971.0,HEV,62434.0,no
Norway,2015,Kia,"$7,658 ",2066.0,9.09,51300.0,PHEV,16151.0,no
India,2024,Chevrolet,"$1,654 ",4509.0,26.73,61694.0,PHEV,13183.0,Yes
USA,2016,BMW,"$38,860 ",108.0,29.24,108357.0,BEV,47975.0,yes
Norway,2020,Renault,"$21,857 ",4443.0,15.08,83992.0,PHEV,51108.0,No
India,2024,Chevrolet,"$47,260 ",4077.0,21.65,71588.0,HEV,4987.0,Yes
USA,2015,Chevrolet,"$22,899 ",1228.0,20.07,67963.0,PHEV,71091.0,YES
Germany,2024,BMW,"$3,936 ",572.0,26.87,24674.0,BEV,31746.0,No
Japan,2019,Ford,"$49,877 ",4903.0,19.71,90667.0,PHEV,6600.0,No
China,2017,Nissan,"$29,624 ",3077.0,21.95,76338.0,BEV,57835.0,Yes
Japan,2016,Nissan,"$37,910 ",3130.0,2.26,95401.0,PHEV,19589.0,YES
India,2017,BYD,"$43,984 ",1079.0,27.53,92186.0,BEV,33635.0,Yes
Netherlands,2024,Tesla,"$31,716 ",311.0,29.03,98951.0,HEV,55240.0,no
Netherlands,2021,Renault,$690 ,2310.0,12.17,7792.0,BEV,51336.0,no
UK,2023,Tesla,"$20,278 ",137.0,11.81,54023.0,PHEV,24093.0,Yes
UK,2015,Nissan,"$1,069 ",1905.0,3.04,75060.0,HEV,5014.0,YES
Japan,2016,Tesla,"$11,593 ",1696.0,5.06,94667.0,HEV,11729.0,Yes
China,2022,BYD,"$34,677 ",4067.0,22.48,113746.0,HEV,55748.0,no
Canada,2017,Kia,"$6,301 ",2816.0,13.17,58294.0,BEV,30592.0,no
India,2015,BMW,"$11,147 ",534.0,3.37,102059.0,HEV,71316.0,YES
Canada,2021,Renault,"$2,868 ",3857.0,21.36,73899.0,PHEV,77429.0,no
UK,2021,Volkswagen,"$26,047 ",1176.0,11.89,105704.0,PHEV,11966.0,no
France,2016,Kia,"$30,249 ",2501.0,10.47,111384.0,BEV,20508.0,Yes
India,2020,Hyundai,"$3,551 ",14.0,14.26,58572.0,PHEV,67412.0,Yes
France,2022,Ford,"$32,593 ",4152.0,21.29,106208.0,BEV,74523.0,no
Germany,2016,Renault,"$40,067 ",4374.0,29.12,124680.0,PHEV,74847.0,yes
Japan,2016,Nissan,"$17,714 ",3685.0,22.58,44659.0,PHEV,33217.0,no
USA,2024,Renault,"$8,808 ",2848.0,13.42,84548.0,PHEV,67617.0,yes
Germany,2023,Hyundai,"$5,737 ",569.0,6.3,63293.0,HEV,4343.0,yes
China,2022,BYD,"$14,000 ",4080.0,20.06,31964.0,BEV,60638.0,YES
USA,2019,Chevrolet,"$8,630 ",3157.0,17.42,78672.0,BEV,14284.0,yes
USA,2015,BMW,"$9,935 ",3128.0,2.18,106916.0,PHEV,79781.0,YES
Germany,2021,BYD,"$29,624 ",2969.0,3.84,65871.0,PHEV,63752.0,no
China,2020,Chevrolet,"$37,720 ",2080.0,2.39,118325.0,HEV,69385.0,no
Netherlands,2015,Tesla,"$40,658 ",3740.0,15.59,101818.0,PHEV,42975.0,No
Norway,2023,Ford,"$1,351 ",1697.0,20.64,14289.0,BEV,36195.0,YES
USA,2015,Renault,"$26,644 ",4010.0,24.52,121254.0,PHEV,39304.0,yes
India,2024,Ford,"$46,747 ",3923.0,6.99,68511.0,HEV,39494.0,no
Canada,2018,Kia,"$3,873 ",3979.0,2.13,32223.0,PHEV,26351.0,yes
Canada,2023,Hyundai,$917 ,124.0,9.17,5184.0,HEV,39513.0,Yes
Norway,2016,Ford,"$26,592 ",3156.0,26.45,61088.0,HEV,61692.0,yes
India,2020,Hyundai,"$19,388 ",2977.0,24.4,103430.0,BEV,18955.0,Yes
UK,2021,Renault,"$38,341 ",2153.0,10.88,46698.0,PHEV,33479.0,Yes
USA,2016,BMW,"$45,311 ",3450.0,20.72,89597.0,PHEV,69450.0,Yes
Netherlands,2022,Chevrolet,"$21,852 ",3962.0,15.65,69811.0,HEV,1728.0,No
India,2020,BYD,"$1,198 ",405.0,28.8,26664.0,BEV,37939.0,YES
Japan,2024,Ford,"$19,040 ",2992.0,29.88,29388.0,PHEV,24714.0,yes
France,2020,Ford,"$2,042 ",1201.0,3.11,96147.0,PHEV,20065.0,Yes
France,2022,Renault,"$18,424 ",3246.0,7.76,47719.0,HEV,14807.0,yes
Norway,2016,Hyundai,"$42,848 ",1866.0,26.53,135640.0,BEV,58854.0,YES
